date,log_return,weekday,days_to_friday,target_forward_return,target_horizon_scaled_return,fwd_rvol,atm_iv_30d,quantile_0_prob,quantile_1_prob,quantile_2_prob,quantile_3_prob,expected_scaled_return_sq_plain,expected_scaled_return_sq,expected_realised_variance_plain,expected_realised_variance,expected_realised_volatility_plain,expected_realised_volatility
2007-08-31,0.0378702740554097,4,1,0.0378702740554097,0.0378702740554097,0.2335886094280498,0.1730665640231587,0.041095591647598975,0.15428461107772948,0.259306289164128,0.5453135081105436,0.00011103860570997927,2.775965142749482e-05,0.027981728638914776,0.006995432159728694,0.16727740026349877,0.08363870013174939
2007-09-04,0.0,1,4,-0.0204785313435407,-0.01023926567177035,0.2335886094280498,,0.48658615464983446,0.14422577508776263,0.14663689324001994,0.22255117702238303,7.414060764834721e-05,1.8575020297535934e-05,0.0186834331273835,0.004680905114979056,0.13668735540416127,0.06841714050571725
2007-09-05,-0.010186845306993,2,3,-0.0204785313435407,-0.011823285583801413,0.2310302565818334,,0.41684774901531013,0.06726864229847374,0.2185437680008726,0.2973398406853436,8.622297461544482e-05,2.1701748964500195e-05,0.021728189603092092,0.005468840739054049,0.1474048493201363,0.07395161079418114
2007-09-06,0.0101868453069929,3,2,-0.0102916860365477,-0.007277320986285781,0.2308640018659913,,0.28856324836120023,0.07542753351569365,0.18630718286133882,0.44970203526176733,0.00010624398025027705,2.6645009768869202e-05,0.026773483023069814,0.006714542461755039,0.1636260462856382,0.08194231179161983
2007-09-07,-0.0204785313435406,4,1,-0.0204785313435406,-0.0204785313435406,0.2227747648786009,0.2307996972628251,0.37802763311890797,0.05117464531249134,0.13078034819084086,0.4400173733777598,0.00010826031765064148,2.706507941266037e-05,0.02728160004796165,0.006820400011990413,0.1651714262454667,0.08258571312273336
2007-09-10,0.0,0,5,0.043851882528849195,0.019611158055168436,0.2253057920267679,,0.31152107267539586,0.04047035621080378,0.43015246607569885,0.21785610503810154,7.126523511683689e-05,1.782097104486626e-05,0.017958839249442898,0.004490884703306297,0.1340105937955761,0.06701406347406712
2007-09-11,0.0102916860365475,1,4,0.043851882528849195,0.021925941264424598,0.2403132476556296,,0.18878664035697698,0.06357628652062157,0.274596740203813,0.4730403329185885,0.00010708198522772335,2.6949059972970718e-05,0.026984660277386285,0.006791163113188621,0.1642700833304296,0.08240851359652485
2007-09-12,0.0,2,3,0.0335601964923017,0.01937598847888712,0.246953696336242,,0.3826992512082387,0.10911877914698179,0.2714914613414904,0.23669050830328914,7.498992465148721e-05,1.8790843646797456e-05,0.018897461012174776,0.004735292598992959,0.13746803632908552,0.0688134623383605
2007-09-13,0.0101868453069929,3,2,0.0335601964923017,0.023730642517659516,0.2653762918248418,,0.32087838829506893,0.08462775838531386,0.3038069215021701,0.29068693181744715,8.326281120869512e-05,2.081570280217378e-05,0.02098222842459117,0.0052455571061477925,0.14485243672300155,0.07242621836150077
2007-09-28,0.0233733511853088,4,1,0.0233733511853088,0.0233733511853088,0.2557281295879902,0.127211,0.26545170974824966,0.2555004839717544,0.13385697482268236,0.3451908314573136,8.673199688783531e-05,2.166128431148861e-05,0.0218564632157345,0.005458643646495129,0.14783931552782062,0.07388263426878558
2007-10-01,0.0196084713883763,0,5,0.026060106669864996,0.01165443400294276,0.2469669885861645,,0.44556531820753903,0.17715916113240485,0.33909286166802716,0.038182658992029016,4.4176052391692606e-05,1.1090609196583994e-05,0.011132365202706537,0.0027948335175391665,0.10551002418114848,0.052866185010261205
2007-10-02,0.0,1,4,0.006451635281488699,0.0032258176407443497,0.2469669885861645,,0.43933594585114,0.1954865692645135,0.3184317642507198,0.046745720633626746,4.507713214551635e-05,1.1276033000796479e-05,0.011359437300670119,0.0028415603162007127,0.10658066100691119,0.05330628777358927
2007-10-03,-0.0097561749453646,2,3,0.006451635281488699,0.0037248533664807877,0.2617276956592397,,0.35763365178225465,0.19076816340110014,0.4034242433924833,0.04817394142416195,4.282185545687334e-05,1.0705463864218334e-05,0.01079110757513208,0.00269777689378302,0.10388025594467931,0.051940127972339656
2007-10-08,0.0162078102268533,0,5,-0.016474837203505198,-0.007367771181056032,0.2582266746046044,,0.27326493034330174,0.14377416533156495,0.4586779693841491,0.12428293494098423,5.394707446439276e-05,1.3497366744024967e-05,0.013594662765026974,0.0034013364194942918,0.11659615244521139,0.058320977525194925
2007-10-09,0.0,1,4,-0.032682647430358494,-0.016341323715179247,0.2582266746046044,,0.3780096599968822,0.1754238947694517,0.35722767831150243,0.08933876692216372,5.000211589866283e-05,1.25562924988739e-05,0.012600533206463033,0.0031641857097162228,0.11225209666844996,0.0562510951868159
2007-10-10,0.0,2,3,-0.032682647430358494,-0.01886933529174711,0.2605180885766177,,0.3063320316154898,0.15743329478678825,0.41690096605335875,0.11933370754436325,5.3662966574173946e-05,1.3421544148247314e-05,0.013523067576691835,0.003382229125358323,0.1162887250626295,0.058156935316076644
