date,daily_pnl,daily_return,cumulative_pnl,cumulative_return
2011-06-16,,,0.0,0.0
2011-06-17,,,0.0,0.0
2011-06-23,,,0.0,0.0
2011-06-24,-249840.62467939637,-0.24984062467939636,-249840.6246793964,-0.24984062467939638
2011-06-30,,,-249840.6246793964,-0.24984062467939638
2011-07-01,-249925.76426091802,-0.24992576426091803,-437324.7798738911,-0.43732477987389107
2011-07-14,,,-437324.7798738911,-0.43732477987389107
2011-07-15,,,-437324.7798738911,-0.43732477987389107
2011-07-28,-249330.11392500278,-0.2493301139250028,-577616.6566107098,-0.5776166566107098
2011-07-29,,,-577616.6566107098,-0.5776166566107098
2011-08-04,,,-577616.6566107098,-0.5776166566107098
2011-08-05,1241399.174203976,1.241399174203976,-53270.32292973055,-0.05327032292973055
2011-08-18,,,-53270.32292973055,-0.05327032292973055
2011-08-19,,,-53270.32292973055,-0.05327032292973055
2011-08-25,,,-53270.32292973055,-0.05327032292973055
2011-08-26,-249251.93440612577,-0.24925193440612578,-289244.5262991821,-0.28924452629918207
2011-09-01,,,-289244.5262991821,-0.28924452629918207
2011-09-02,,,-289244.5262991821,-0.28924452629918207
2011-09-15,,,-289244.5262991821,-0.28924452629918207
2011-09-16,,,-289244.5262991821,-0.28924452629918207
2011-09-29,387272.6285358384,0.3872726285358384,-13988.385752831457,-0.013988385752831456
2011-09-30,,,-13988.385752831457,-0.013988385752831456
2011-10-06,,,-13988.385752831457,-0.013988385752831456
2011-10-07,-249872.63908270173,-0.24987263908270174,-260365.7099709663,-0.2603657099709663
2011-10-20,,,-260365.7099709663,-0.2603657099709663
2011-10-21,,,-260365.7099709663,-0.2603657099709663
2011-10-27,,,-260365.7099709663,-0.2603657099709663
2011-10-28,437470.0147497911,0.43747001474979114,63202.1137974863,0.0632021137974863
2011-11-03,,,63202.1137974863,0.0632021137974863
2011-11-04,,,63202.1137974863,0.0632021137974863
2011-11-17,,,63202.1137974863,0.0632021137974863
2011-11-18,,,63202.1137974863,0.0632021137974863
2011-11-23,,,63202.1137974863,0.0632021137974863
2011-11-25,,,63202.1137974863,0.0632021137974863
2011-12-01,,,63202.1137974863,0.0632021137974863
2011-12-02,711676.8761579271,0.7116768761579271,819858.4728693863,0.8198584728693863
2011-12-15,,,819858.4728693863,0.8198584728693863
2011-12-16,,,819858.4728693863,0.8198584728693863
2011-12-29,,,819858.4728693863,0.8198584728693863
2011-12-30,,,819858.4728693863,0.8198584728693863
2012-01-05,,,819858.4728693863,0.8198584728693863
2012-01-06,,,819858.4728693863,0.8198584728693863
2012-01-19,,,819858.4728693863,0.8198584728693863
2012-01-20,,,819858.4728693863,0.8198584728693863
2012-01-26,,,819858.4728693863,0.8198584728693863
2012-01-27,947590.640791934,0.947590640791934,2544339.3293263186,2.5443393293263186
2012-02-02,,,2544339.3293263186,2.5443393293263186
2012-02-03,,,2544339.3293263186,2.5443393293263186
2012-02-16,,,2544339.3293263186,2.5443393293263186
2012-02-17,,,2544339.3293263186,2.5443393293263186
2012-02-23,,,2544339.3293263186,2.5443393293263186
2012-02-24,,,2544339.3293263186,2.5443393293263186
2012-03-01,,,2544339.3293263186,2.5443393293263186
2012-03-02,681970.6820676391,0.6819706820676391,4961474.839226146,4.961474839226146
2012-03-15,,,4961474.839226146,4.961474839226146
2012-03-16,,,4961474.839226146,4.961474839226146
2012-04-05,763138.9537694607,0.7631389537694606,9510908.510956151,9.51090851095615
2012-04-19,,,9510908.510956151,9.51090851095615
2012-04-20,,,9510908.510956151,9.51090851095615
2012-04-26,,,9510908.510956151,9.51090851095615
2012-04-27,,,9510908.510956151,9.51090851095615
2012-05-03,,,9510908.510956151,9.51090851095615
2012-05-04,-249890.0175143322,-0.2498900175143322,6884337.399061775,6.884337399061775
2012-05-17,,,6884337.399061775,6.884337399061775
2012-05-18,,,6884337.399061775,6.884337399061775
2012-05-24,,,6884337.399061775,6.884337399061775
2012-05-25,,,6884337.399061775,6.884337399061775
2012-05-31,,,6884337.399061775,6.884337399061775
2012-06-01,,,6884337.399061775,6.884337399061775
2012-06-13,,,6884337.399061775,6.884337399061775
2012-06-14,,,6884337.399061775,6.884337399061775
2012-06-15,,,6884337.399061775,6.884337399061775
2012-06-27,,,6884337.399061775,6.884337399061775
2012-06-28,,,6884337.399061775,6.884337399061775
2012-06-29,,,6884337.399061775,6.884337399061775
2012-07-05,,,6884337.399061775,6.884337399061775
2012-07-06,607990.3425526216,0.6079903425526216,11677938.39511779,11.67793839511779
2012-07-18,,,11677938.39511779,11.67793839511779
2012-07-19,,,11677938.39511779,11.67793839511779
2012-07-20,,,11677938.39511779,11.67793839511779
2012-07-25,-249583.20183105455,-0.24958320183105456,8513737.93784743,8.51373793784743
2012-07-26,,,8513737.93784743,8.51373793784743
2012-07-27,,,8513737.93784743,8.51373793784743
2012-08-01,,,8513737.93784743,8.51373793784743
2012-08-02,,,8513737.93784743,8.51373793784743
2012-08-03,,,8513737.93784743,8.51373793784743
2012-08-15,246673.33980201176,0.24667333980201175,10860523.44897736,10.86052344897736
2012-08-16,,,10860523.44897736,10.86052344897736
2012-08-17,,,10860523.44897736,10.86052344897736
2012-08-29,713295.1227253592,0.7132951227253591,19320576.97810267,19.320576978102668
2012-08-30,,,19320576.97810267,19.320576978102668
2012-08-31,,,19320576.97810267,19.320576978102668
2012-09-05,,,19320576.97810267,19.320576978102668
2012-09-06,,,19320576.97810267,19.320576978102668
2012-09-07,,,19320576.97810267,19.320576978102668
2012-09-26,,,19320576.97810267,19.320576978102668
2012-09-27,,,19320576.97810267,19.320576978102668
2012-09-28,,,19320576.97810267,19.320576978102668
2012-10-03,,,19320576.97810267,19.320576978102668
2012-10-04,,,19320576.97810267,19.320576978102668
2012-10-05,,,19320576.97810267,19.320576978102668
2012-10-17,996587.270257545,0.996587270257545,39571805.31876832,39.57180531876832
2012-10-18,,,39571805.31876832,39.57180531876832
2012-10-19,,,39571805.31876832,39.57180531876832
2012-10-24,,,39571805.31876832,39.57180531876832
2012-10-25,,,39571805.31876832,39.57180531876832
2012-10-26,,,39571805.31876832,39.57180531876832
2012-10-31,,,39571805.31876832,39.57180531876832
2012-11-01,,,39571805.31876832,39.57180531876832
2012-11-02,,,39571805.31876832,39.57180531876832
2012-11-14,,,39571805.31876832,39.57180531876832
2012-11-15,,,39571805.31876832,39.57180531876832
2012-11-16,,,39571805.31876832,39.57180531876832
2012-11-28,,,39571805.31876832,39.57180531876832
2012-11-29,,,39571805.31876832,39.57180531876832
2012-11-30,,,39571805.31876832,39.57180531876832
2012-12-05,,,39571805.31876832,39.57180531876832
2012-12-06,,,39571805.31876832,39.57180531876832
2012-12-07,,,39571805.31876832,39.57180531876832
