n_quantiles,forecast_rows,signal_rows,sharpe,ann_return,ann_vol,max_drawdown,n_trades,win_rate,total_pnl
8,4569,1122,1.322827502342755,2.226024307372624,1.682777462239248,-0.7622008528250666,135,0.5407407407407407,26184903.096248396
10,4569,1122,1.1989500187708027,2.0991919808003594,1.750858624575952,-0.799050706635103,137,0.5401459854014599,26111171.22955951
4,4569,1122,1.1184017644949764,1.9159833756401858,1.7131440922800796,-0.7937175761655199,136,0.5367647058823529,24839624.203669496
5,4569,1122,1.0367645684960614,1.671726238914975,1.6124453802853178,-0.7936594968366552,142,0.5352112676056338,23309551.06601114
6,4569,1122,1.031472714409454,1.6380948757642981,1.5881126595793198,-0.7926308660192439,138,0.5289855072463768,22907740.150422372
3,4569,1122,0.9662499582593685,1.6185790254629304,1.6751141996204448,-0.8312933164921076,128,0.5234375,22901396.933673788
