entry_date,exit_date,direction,direction_label,n_contracts,entry_iv,realised_vol,iv_rv_spread,entry_price,exit_price,straddle_premium,option_pnl,hedge_pnl,txn_cost,net_pnl,holding_days,stopped_out
2011-06-16,2011-06-24,1,short_vol,308,0.21669874368399106,0.1564268371749209,0.06027190650907016,1265.0,1270.0,3237.925989140308,-843281.2046552149,49316.58335878954,997.2812046552149,-249320.30116380373,3,False
2011-07-14,2011-07-28,1,short_vol,326,0.19787800428162494,0.13569152660823175,0.06218647767339319,1310.0,1300.0,3061.9063993826444,-672181.4861987421,5714.779481631596,998.181486198742,-249545.37154968551,2,False
2011-07-29,2011-08-05,1,short_vol,241,0.28967013135049746,0.8552209569823631,-0.5655508256318657,1295.0,1200.0,4144.64191864156,1290641.2976073842,0.0,998.8587023926159,1289642.4389049916,2,False
2011-08-18,2011-08-26,1,short_vol,167,0.44316852690123454,0.343696792002598,0.09947173489863653,1140.0,1180.0,5966.704017458233,-328439.57091552485,35922.69413801684,996.4395709155249,-249109.8927288812,3,False
2011-09-29,2011-10-07,1,short_vol,190,0.38366061128122325,0.3213836505920884,0.06227696068913485,1160.0,1155.0,5256.3642086773825,-903709.1996487026,-71718.0200865322,998.7091996487027,-249677.29991217566,3,False
2011-10-20,2011-10-28,1,short_vol,209,0.3318785826550331,0.3762805094112668,-0.04440192675623367,1215.0,1285.0,4762.669492554653,467602.0760560775,-18433.294850341146,995.3979239439225,448173.3832817924,3,False
2011-11-17,2011-11-25,1,short_vol,225,0.3088976653836883,0.4245671298915139,-0.11566946450782561,1215.0,1160.0,4432.938270995111,240088.88902609982,22575.148552933766,997.4111109739002,261666.6264680597,3,False
2012-05-17,2012-05-25,1,short_vol,281,0.23007577841111101,0.19207257365786545,0.03800320475324556,1305.0,1315.0,3546.4924535172145,-715564.3794383373,-35555.48269058668,996.5643794383373,-249141.09485958432,3,False
2012-06-01,2012-06-13,1,short_vol,284,0.24915263497863982,0.4903712791850383,-0.2412186442063985,1275.0,1315.0,3509.916427268274,139183.7346558101,0.0,996.8162653441899,138186.91839046593,1,False
2012-06-29,2012-07-06,-1,long_vol,516,0.12887433370215337,0.14843947953717823,-0.01956514583502486,1360.0,1355.0,1936.6102528284841,741290.8904594978,-5510.795320921899,999.2908904594979,734780.8042481163,2,False
2012-08-15,2012-08-16,-1,long_vol,506,0.11250915765387731,0.16917930496173805,-0.05667014730786074,1400.0,1415.0,1973.445534898633,-514722.18058675615,0.0,998.5634406587084,-249640.86016467708,1,True
2012-08-17,2012-08-29,-1,long_vol,659,0.0966017286344586,0.11218780167605681,-0.015586073041598217,1420.0,1410.0,1515.6979145644755,339844.92569798935,0.0,998.8449256979893,338846.08077229135,1,False
2012-10-05,2012-10-17,-1,long_vol,610,0.10160031164715558,0.0,0.10160031164715558,1460.0,1460.0,1639.0302266261415,999808.4382419463,0.0,999.8084382419463,998808.6298037043,1,False
2012-12-26,2013-01-04,1,short_vol,302,0.18582681017900068,0.31541062160202676,-0.12958381142302608,1420.0,1465.0,3305.949329840314,360603.30238822516,-135790.88127143207,998.3966976117748,223814.0244191813,5,False
2013-01-16,2013-01-25,-1,long_vol,523,0.10362614947438777,0.07564357814073161,0.027982571333656156,1470.0,1500.0,1908.5203205241555,-570843.8723658667,410775.1851888563,998.1561276341333,-161066.84330464448,5,False
2013-02-01,2013-02-13,-1,long_vol,673,0.0889435903787694,0.10478261057923861,-0.01583902020046922,1510.0,1520.0,1483.9918223916584,325726.4964695861,0.0,998.7264964695861,324727.7699731165,1,False
2013-02-14,2013-02-21,-1,long_vol,649,0.08576686661392702,0.08583935065134624,-7.248403741921816e-05,1520.0,1500.0,1539.9224029001516,-343390.4505293509,-6262.61236200253,999.4096394821984,-249852.4098705496,3,True
2013-03-13,2013-03-27,-1,long_vol,511,0.10037037250698026,0.029422662154572187,0.07094771035240807,1555.0,1560.0,1955.4482105157376,743734.0355735419,0.0,999.2340355735419,742734.8015379683,3,False
2013-03-28,2013-04-03,-1,long_vol,585,0.09211282206997885,0.20352211931963138,-0.11140929724965253,1570.0,1550.0,1708.264036811488,-1201544.5481467107,0.0,999.3344615347205,-249833.61538368012,1,True
2013-05-03,2013-05-15,-1,long_vol,543,0.10303242195834088,0.43627347525587373,-0.33324105329753284,1615.0,1660.0,1838.5921464309604,-1445144.4644879885,0.0,998.3555355120116,-249588.88387800287,1,False
2013-06-05,2013-06-26,1,short_vol,284,0.17424777594516158,0.2344322805745818,-0.06018450462942021,1610.0,1605.0,3514.750135276415,-856189.038418502,197386.50541314774,998.189038418502,-249547.2596046255,3,False
2013-07-19,2013-07-26,-1,long_vol,551,0.09716393740192912,0.038404417420428286,0.058759519981500835,1690.0,1690.0,1814.3922538010543,999730.1318443809,1478.8907165898142,999.7301318443809,1000209.2924291263,3,False
2013-08-02,2013-08-14,-1,long_vol,576,0.0917559348379996,0.23379668347639104,-0.14204074863839145,1710.0,1685.0,1733.6842437094447,-441397.87562335987,0.0,998.6021243766402,-249650.53109416005,1,False
2013-10-18,2013-10-25,-1,long_vol,540,0.09588933166978536,0.05843752186964908,0.03745180980013628,1745.0,1760.0,1848.8649157680925,188387.05451476993,3977.9685854545764,998.3870545147699,191366.63604570972,3,False
2013-11-14,2013-11-27,-1,long_vol,493,0.09578092258788555,0.06978026338699915,0.0260006592008864,1790.0,1805.0,2025.1958611862847,258921.55956483833,2788.887018223291,998.4215595648383,260712.0250234968,2,False
2013-12-20,2013-12-26,-1,long_vol,574,0.08679658914814548,0.21716491703831567,-0.1303683278901702,1815.0,1840.0,1740.681538199044,-1528590.151887329,0.0,999.1512029262514,-249787.80073156283,1,True
2013-12-27,2014-01-03,-1,long_vol,611,0.08038009274355164,0.06117166180066869,0.019208430942882944,1840.0,1830.0,1634.205745412578,387499.7104470851,0.0,998.4997104470851,386501.210736638,2,False
2014-01-15,2014-01-29,-1,long_vol,475,0.0910308875081228,0.30873155460812185,-0.21770066709999905,1845.0,1775.0,2104.245145687753,-2325483.5557983173,-17595.92573994746,999.5164442016827,-249879.11105042067,3,False
2014-01-30,2014-02-07,1,short_vol,320,0.14706092731949352,0.20776609170393098,-0.06070516438443746,1795.0,1795.0,3118.11262959568,-997796.0414706176,897489.2396854173,997.7960414706176,-101304.59782667099,4,False
2014-04-17,2014-04-25,-1,long_vol,459,0.09868695736922051,0.08843904539444565,0.010247911974774856,1865.0,1860.0,2174.0691608104953,768397.7448120173,-219616.03164286853,997.8977448120173,547783.8154243367,3,False
2014-05-02,2014-05-14,-1,long_vol,503,0.0955487972260734,0.04216339229403843,0.05338540493203497,1880.0,1885.0,1984.826522962203,746867.7410499881,0.0,998.3677410499881,745869.3733089381,1,False
2014-05-16,2014-05-28,-1,long_vol,515,0.09365589334953318,0.29359239754335037,-0.1999365041938172,1875.0,1910.0,1940.3317407423174,-803229.1535177066,0.0,999.2708464822935,-249817.71162057336,1,False
2014-05-29,2014-06-06,-1,long_vol,490,0.08994272383615157,0.0681117625476045,0.02183096128854707,1920.0,1945.0,2039.870881648642,-225463.26799216546,53175.45543916037,999.5367320078345,-173287.34928501293,4,False
2014-06-18,2014-07-02,-1,long_vol,495,0.08245184017204185,0.05218744865450407,0.030264391517537778,1955.0,1970.0,2019.5702525815932,257187.27502788862,3620.366367866539,999.6872750278886,259807.95412072729,3,False
2014-07-03,2014-07-16,-1,long_vol,640,0.06656519785499024,0.040036611049118924,0.026528586805871314,1985.0,1980.0,1560.790466598155,678905.8986228192,0.0,998.9058986228192,677906.9927241964,1,False
2014-07-17,2014-07-25,1,short_vol,330,0.13112714188252197,0.09869402366515988,0.0324331182173621,1955.0,1975.0,3028.1066027176394,-339275.178896821,221118.1189008571,999.275178896821,-119156.3351748607,4,False
2014-07-31,2014-08-13,1,short_vol,266,0.16461706318759214,0.11961950313512834,0.0449975600524638,1930.0,1945.0,3752.839867083935,-599255.4046443268,-5172.307774862489,998.2554046443267,-249563.8511610817,2,False
2014-08-27,2014-09-05,-1,long_vol,507,0.07858556324076132,0.046982690178618294,0.03160287306214303,2000.0,2005.0,1969.1776335751115,744873.0602225815,2015.2689222080817,998.3730602225816,745889.956084567,5,False
2014-09-19,2014-09-24,-1,long_vol,576,0.07805971505816203,0.11891072728903603,-0.04085101223087399,2010.0,1995.0,1733.6585018403866,-523366.7807453247,0.0,998.5872970600626,-249646.82426501566,1,True
2014-09-25,2014-10-03,1,short_vol,294,0.14636381870843745,0.17399989053144949,-0.02763607182301203,1965.0,1965.0,3397.2414398691967,-998788.9833215438,267468.78589286027,998.7889833215438,-249697.24583038595,4,False
2014-10-15,2014-10-29,1,short_vol,172,0.2485206411531586,0.46112397286138174,-0.21260333170822313,1865.0,1980.0,5806.68982737692,979249.3496911698,-28656.20943052386,998.7506503088302,949594.3896103371,3,False
2014-12-17,2014-12-26,1,short_vol,256,0.15496598518686,0.20332202103229188,-0.04835603584543188,2010.0,2085.0,3902.443356354752,920974.5007731835,-300669.52645021357,999.0254992268165,619305.9488237433,4,False
2014-12-31,2015-01-14,1,short_vol,252,0.1533184602967061,0.25002602129576107,-0.09670756099905498,2060.0,2010.0,3957.0001359217827,262835.9657477108,10891.354697809978,997.1640342522892,272730.15641126846,2,False
2015-01-15,2015-01-28,1,short_vol,186,0.227069194074021,0.178931047807343,0.048138146266678006,1995.0,2000.0,5350.807067348876,-902250.1145268909,4988.722363742382,995.2501145268909,-248812.52863172273,2,False
2015-01-29,2015-02-06,1,short_vol,233,0.17913427270050708,0.21790964412425115,-0.03877537142374407,2020.0,2055.0,4274.210925486409,-180391.14563833328,212218.79846817235,995.8911456383333,30831.76168420073,4,False
2015-07-01,2015-07-15,1,short_vol,231,0.1660239692985383,0.1611267688756776,0.004897200422860709,2075.0,2105.0,4316.099808687886,-304019.0558069017,-7207.366640839249,997.0190558069017,-249254.76395172544,2,False
2015-07-16,2015-07-29,-1,long_vol,464,0.08589992402682514,0.10939117681300761,-0.02349125278618247,2120.0,2105.0,2151.118507772753,302118.9876065575,-4708.108395085333,998.1189876065575,296412.7602238656,2,False
2015-08-20,2015-08-28,1,short_vol,225,0.18439815748938437,0.32271508814968386,-0.1383169306602995,2035.0,1990.0,4432.4732951420065,15193.508593048648,786458.4625984647,997.3064914069514,800654.6647001064,4,False
2015-09-04,2015-09-16,1,short_vol,197,0.23772349780000132,0.5670069832389987,-0.3292834854389973,1925.0,1995.0,5056.219080156268,382924.8412092152,0.0,996.0751587907848,381928.7660504244,1,False
2015-09-24,2015-10-01,1,short_vol,190,0.23074156072501098,0.053244866216299945,0.17749669450871103,1930.0,1925.0,5260.180434085646,-320517.39409919415,1417.6358356301278,999.4342824762728,-249858.5706190682,3,True
2015-11-20,2015-11-27,-1,long_vol,443,0.09793522046770285,0.026886173716947223,0.07104904675075563,2085.0,2090.0,2256.2347578504614,778011.9977277544,1198.4556239307094,999.5119977277544,778210.9413539573,2,False
2016-01-13,2016-01-27,1,short_vol,177,0.2385249891135109,0.27545301120648036,-0.03692802209296947,1890.0,1885.0,5647.876448909142,-911174.1314569181,-25183.747945411764,999.6741314569181,-249918.53286422952,3,False
2016-01-28,2016-02-05,1,short_vol,200,0.22238317703642088,0.2583304242615255,-0.035947247225104645,1895.0,1880.0,4977.716445190037,-695543.2890380075,230541.94246604017,995.5432890380075,-248885.82225950187,4,False
2016-04-01,2016-04-13,-1,long_vol,459,0.09520813579236917,0.07650380043784859,0.018704335354520582,2070.0,2080.0,2177.6290956249113,540531.7548918343,0.0,999.5317548918343,539532.2231369425,1,False
2016-05-25,2016-06-03,-1,long_vol,380,0.10034220239748892,0.04145351817141651,0.058888684226072414,2090.0,2100.0,2627.485370757904,618444.4408880036,-4961.821769895689,998.4444408880036,612484.1746772198,5,False
2016-06-15,2016-06-22,1,short_vol,198,0.19433297128809612,0.07319091646954688,0.12114205481854924,2070.0,2085.0,5039.818194017596,-238996.58892121512,-22519.82738993955,997.884002415484,-249471.000603871,3,True
2016-06-24,2016-07-01,1,short_vol,165,0.2678605633643237,0.18786564252246446,0.07999492084185922,2040.0,2100.0,6037.493766588773,-6186.471487147514,-7324.9005058965695,996.1864714871475,-14507.558464531232,3,False
2016-07-13,2016-07-27,-1,long_vol,390,0.09501102774075121,0.04751679141121925,0.04749423632953196,2150.0,2165.0,2559.3125834527427,413131.90754656965,52834.65731450295,998.1319075465698,464968.43295352603,3,False
2016-07-29,2016-08-05,-1,long_vol,477,0.08742637481893803,0.09448617327581543,-0.007059798456877403,2170.0,2180.0,2096.2457788159554,522909.23649521073,-312628.8361742244,999.9092364952108,209280.49108449114,3,False
2016-08-17,2016-08-26,-1,long_vol,419,0.0872047510777917,0.03646838037371105,0.05073637070408065,2180.0,2165.0,2381.8155769367195,369480.72673648543,4345.434714317309,997.9807267364855,372828.1807240663,5,False
2016-09-02,2016-09-14,-1,long_vol,579,0.07174302459107408,0.3691912413741619,-0.29744821678308786,2175.0,2125.0,1724.168896701326,-1896706.2088099322,0.0,998.2937911900677,-249573.44779751694,1,False
2016-11-02,2016-11-16,1,short_vol,165,0.22931349732125467,0.3903980882098718,-0.16108459088861715,2100.0,2175.0,6033.097364994364,242038.93477592987,152696.32414556717,995.4610652240701,393739.79785627295,3,False
2016-11-17,2016-11-23,-1,long_vol,514,0.07533490456192264,0.13055201381652393,-0.055217109254601285,2185.0,2205.0,1944.3930297591123,-625458.6833635615,5717.494326861228,999.4180172961837,-249854.50432404593,2,True
2016-11-25,2016-11-30,-1,long_vol,512,0.07994353227332358,0.10811284375439313,-0.028169311481069548,2210.0,2195.0,1952.1628261794376,-353342.33793613384,0.0,999.5073670038721,-249876.84175096801,1,True
2017-01-20,2017-01-25,-1,long_vol,556,0.07167895559149677,0.17387367545939358,-0.10219471986789681,2270.0,2295.0,1797.870440916904,-1448878.6835048439,0.0,999.6159651497987,-249903.99128744967,1,True
2017-02-03,2017-02-15,-1,long_vol,598,0.0659321738708394,0.3421362576351094,-0.27620408376427,2295.0,2345.0,1671.9420699997727,-1990178.6421401359,0.0,999.8213578598641,-249955.339464966,1,False
2017-02-17,2017-02-24,-1,long_vol,603,0.06381985411957128,0.04348393256145581,0.02033592155811547,2350.0,2365.0,1657.1617678665007,94768.5460234999,124570.81959281278,999.2685460235,218340.0970702892,3,False
2017-05-26,2017-06-01,-1,long_vol,684,0.054753761056557604,0.09564146839134062,-0.040887707334783016,2415.0,2430.0,1461.0756411837883,-583727.6955909637,4138.201761448759,999.3757385697112,-249843.9346424278,2,True
2017-07-21,2017-07-28,-1,long_vol,691,0.05298731850631907,0.026211295882625354,0.026776022623693715,2470.0,2470.0,1446.1407704666044,999283.2723924236,-84823.5839573142,999.2832723924236,913460.4051627169,3,False
2017-11-17,2017-11-22,-1,long_vol,672,0.052193676221278906,0.12258368146238548,-0.07039000524110657,2580.0,2600.0,1487.9190254364858,-1367601.5001397918,0.0,999.8815850933184,-249970.39627332962,1,True
2017-11-24,2017-11-29,-1,long_vol,616,0.05632125046055121,0.12141174186077464,-0.06509049140022342,2605.0,2625.0,1621.1438930980648,-1171568.4960728667,0.0,998.6246381484079,-249656.15953710198,1,True
2017-11-30,2017-12-13,1,short_vol,332,0.09601011663605243,0.0871745296494653,0.008835586986587124,2650.0,2665.0,3005.3692463670814,-499782.58979387104,-3765.2172934878186,997.782589793871,-249445.64744846776,2,False
2018-01-17,2018-01-26,1,short_vol,300,0.09480405652911945,0.1185171604358276,-0.023713103906708152,2805.0,2875.0,3331.7366012468256,1100479.0196259522,-706148.2991243651,999.5209803740477,393331.1995212131,5,False
2018-01-31,2018-02-14,1,short_vol,230,0.12248710151255937,0.2936817375588083,-0.1711946360462489,2825.0,2700.0,4335.278477342331,1877885.950211264,21096.546475017658,997.1140497887362,1897985.3826364928,3,False
2018-02-16,2018-02-23,1,short_vol,223,0.14833971631172682,0.1818924384106506,-0.033552722098923765,2735.0,2750.0,4482.804380349012,-665165.3768178297,448880.5684174291,999.6653768178297,-217284.4737772184,3,False
2018-02-28,2018-03-14,1,short_vol,182,0.16140051949161535,0.22860133066601096,-0.06720081117439561,2715.0,2755.0,5490.071782489667,-271193.06441311946,390737.97687905224,999.1930644131195,118545.71940151966,3,False
2018-03-28,2018-04-06,1,short_vol,138,0.22064878858623915,0.21796656555280747,0.0026822230334316854,2610.0,2610.0,7214.981400440479,-995667.4332607861,250394.30085633145,995.6674332607861,-248916.85831519653,4,False
2018-04-20,2018-04-27,1,short_vol,227,0.1487176484186039,0.15996835021392886,-0.011250701795324947,2675.0,2675.0,4395.631427665467,-997808.334080061,53609.02169385184,997.808334080061,-249452.08352001524,3,False
2018-05-02,2018-05-16,1,short_vol,209,0.14464927952384488,0.2295789436135986,-0.08492966408975372,2640.0,2725.0,4784.38092136123,776564.3874355028,74986.86591475602,999.9356125644972,850551.3177376944,3,False
2018-06-27,2018-07-06,1,short_vol,187,0.15773687923743104,0.10249423476595039,0.055242644471480654,2705.0,2765.0,5345.6964736693635,122354.75942382902,-178866.51490648946,999.645240576171,-57511.40072323662,4,False
2018-10-05,2018-10-17,1,short_vol,237,0.13169656291791282,0.4174081281768282,-0.2857115652589154,2890.0,2815.0,4205.415525494641,780816.5204577701,0.0,996.68347954223,779819.8369782278,1,False
2018-10-18,2018-10-26,1,short_vol,160,0.18986547916770533,0.37201058500219186,-0.18214510583448654,2775.0,2665.0,6223.48034770805,764243.144366712,-654729.5576364921,995.7568556332881,108517.8298745866,4,False
2018-10-31,2018-11-14,1,short_vol,128,0.2281319687921769,0.13828925682452906,0.08984271196764784,2720.0,2710.0,7774.0390037818315,-867076.9924840744,73847.49353823315,995.0769924840745,-248769.2481210186,3,False
2018-11-28,2018-12-07,1,short_vol,144,0.20102240054401915,0.271113438380694,-0.07009103783667486,2750.0,2640.0,6925.864686944487,586675.4850799938,64313.6389464875,997.3245149200062,649991.7995115613,4,False
2018-12-19,2018-12-28,1,short_vol,134,0.23731843016793314,0.2444061384699967,-0.007087708302063567,2510.0,2495.0,7462.68212816376,-798999.4051739438,409534.8113176947,999.9994051739438,-249999.85129348596,5,False
2019-01-03,2019-01-16,1,short_vol,138,0.24813440763599787,0.5192462277503612,-0.27111182011436336,2455.0,2620.0,7195.362689483272,1284039.9488513083,-15167.414181965256,992.9600511486916,1267879.5746181945,2,False
2019-08-14,2019-08-28,1,short_vol,117,0.2378785246139306,0.12852519700000647,0.10935332761392413,2850.0,2895.0,8493.559479212741,-467246.4590678906,-6973.659343212642,993.7464590678907,-248436.61476697266,3,False
