date,log_return,weekday,days_to_friday,target_forward_return,target_horizon_scaled_return,fwd_rvol,atm_iv_30d,quantile_0_prob,quantile_1_prob,quantile_2_prob,quantile_3_prob,quantile_4_prob,expected_scaled_return_sq_plain,expected_scaled_return_sq,expected_realised_variance_plain,expected_realised_variance,expected_realised_volatility_plain,expected_realised_volatility
2007-08-31,0.0378702740554097,4,1,0.0378702740554097,0.0378702740554097,0.2335886094280498,0.1730665640231587,0.017405973417620218,0.14650468725548088,0.0910927225953281,0.30869444294528003,0.4363021737862907,0.00010863655624556508,2.189741269432009e-05,0.0273764121738824,0.005518147998968663,0.16545818859724773,0.07428423789047488
2007-09-04,0.0,1,4,-0.0204785313435407,-0.01023926567177035,0.2335886094280498,,0.24272689681892234,0.16560652580592025,0.42534806604409586,0.09692379245682287,0.06939471887423877,5.5294450119740495e-05,1.0987847489323943e-05,0.013934201430174604,0.0027689375673096337,0.11804321848447968,0.05262069523780196
2007-09-05,-0.010186845306993,2,3,-0.0204785313435407,-0.011823285583801413,0.2310302565818334,,0.2642566459782544,0.11443819876127996,0.35574829330874386,0.0690019530668357,0.19655490888488616,8.373646567714032e-05,1.6687298831734434e-05,0.021101589350639362,0.004205199305597078,0.14526386113083792,0.06484750809088255
2007-09-06,0.0101868453069929,3,2,-0.0102916860365477,-0.007277320986285781,0.2308640018659913,,0.2781875436511626,0.05668470957886147,0.18098034731931784,0.07387031098625262,0.41027708846440547,0.00013746369045764255,2.7429802575676708e-05,0.03464084999532592,0.00691231024907053,0.186120525454142,0.08314030460053974
2007-09-07,-0.0204785313435406,4,1,-0.0204785313435406,-0.0204785313435406,0.2227747648786009,0.2307996972628251,0.3621600994963606,0.10501114844749077,0.0613128710796457,0.15978742192968468,0.3117284590468183,0.00012681502128533857,2.543660772009509e-05,0.03195738536390532,0.006410025145463963,0.17876628698920086,0.08006263264135124
2007-09-10,0.0,0,5,0.043851882528849195,0.019611158055168436,0.2253057920267679,,0.19240400558956525,0.0978472639965803,0.2231781317432918,0.39004709647293057,0.09652350219763203,7.16910612720376e-05,1.4335157579543043e-05,0.018066147440553477,0.003612459710044847,0.13441036954250768,0.0601037412316808
2007-09-11,0.0102916860365475,1,4,0.043851882528849195,0.021925941264424598,0.2403132476556296,,0.06048458005181085,0.11770987718119594,0.3098075700583626,0.1202448672316719,0.3917531054769586,0.00010753887295583334,2.153183901393128e-05,0.02709979598487,0.0054260234315106825,0.16462015667854893,0.07366154649144072
2007-09-12,0.0,2,3,0.0335601964923017,0.01937598847888712,0.246953696336242,,0.2699452401822787,0.1386023209979401,0.1723668572973135,0.2145735676989413,0.20451201382352643,9.945706929417758e-05,1.9913604285192357e-05,0.02506318146213275,0.005018228279868474,0.15831355425904867,0.0708394542600977
2007-09-13,0.0101868453069929,3,2,0.0335601964923017,0.023730642517659516,0.2653762918248418,,0.20092144437705864,0.16296387455665917,0.29269174135429893,0.12612758832492407,0.21729535138705916,9.048163456834609e-05,1.7835508974323247e-05,0.022801371911223216,0.004494548261529458,0.15100123148909486,0.06704139215089032
2007-09-28,0.0233733511853088,4,1,0.0233733511853088,0.0233733511853088,0.2557281295879902,0.127211,0.2597012421048829,0.19945505088093768,0.1133301986644958,0.10919198668833908,0.3183215216613446,0.00011983819411505216,2.399792595861195e-05,0.030199224916993145,0.006047477341570212,0.17377924190476016,0.07776552797718415
