entry_date,exit_date,direction,direction_label,n_contracts,entry_iv,realised_vol,iv_rv_spread,entry_price,exit_price,straddle_premium,option_pnl,hedge_pnl,txn_cost,net_pnl,holding_days,stopped_out
2011-04-29,2011-05-05,-1,long_vol,277,0.1121148750432345,0.352781359704687,-0.2406664846614525,1365.0,1335.0,3607.6729747396826,-2109891.5597808594,0.0,999.3254140028921,-249831.35350072302,1,True
2011-06-16,2011-10-06,1,short_vol,154,0.216698743683991,0.4512788647529229,-0.2345801210689319,1265.0,1165.0,6461.359005792827,544950.7131079048,614980.5789305628,995.0492868920952,1158936.2427515755,22,False
2011-10-07,2012-01-27,1,short_vol,113,0.3249969077636325,0.43106544069954345,-0.10606853293591095,1155.0,1315.0,8845.97096707007,808405.280721082,-77647.73123549318,999.594719278918,729757.9547663098,22,False
2012-03-16,2012-04-19,-1,long_vol,278,0.1083141532383599,0.18084200095664815,-0.07252784771828825,1405.0,1375.0,3587.5183497665944,-712113.1789201023,-7098.434862057332,997.3301012351133,-249332.5253087783,2,True
2012-09-21,2012-10-19,-1,long_vol,257,0.1128226361147407,0.1126635448829768,0.00015909123176389983,1460.0,1430.0,3883.1138296121935,221654.01200112072,-681118.2618469156,997.9602542103337,-249490.06355258342,20,True
2012-11-23,2012-12-26,-1,long_vol,225,0.1334856532106779,0.0871046070948061,0.04638104611587181,1410.0,1420.0,4436.869823689574,773295.7103301542,-344187.68437974044,998.2957103301542,428109.7302400836,22,False
2012-12-27,2013-01-30,1,short_vol,175,0.1702944949760654,0.12249281326812396,0.047801681707941454,1420.0,1500.0,5700.254852729836,402455.4007722787,-378040.80472414236,997.5445992277213,23417.051448908638,22,False
2013-02-01,2013-02-04,-1,long_vol,263,0.1067950979514556,0.1584822600605638,-0.05168716210910819,1510.0,1495.0,3801.555890488521,-476712.60685264785,0.0,999.8091991984811,-249952.29979962026,1,True
2013-02-08,2013-03-13,-1,long_vol,261,0.1072522348602195,0.10837137629052898,-0.0011191414303094865,1515.0,1555.0,3830.46892076876,-44247.61167935359,142118.98381666327,999.7523883206463,96871.61974898903,22,False
2013-03-14,2013-04-16,-1,long_vol,276,0.0984787192062414,0.13995951854406324,-0.04148079933782184,1560.0,1575.0,3621.6193420936975,585566.9384178605,-85555.09292880718,999.5669384178606,499012.2785506355,22,False
2013-04-18,2013-05-20,1,short_vol,178,0.1541819214389846,0.11022360864996064,0.04395831278902396,1540.0,1665.0,5597.160398870301,1228705.4490010864,-1249937.7219040687,996.2945509989136,-22228.567453981224,22,False
2013-05-31,2013-07-02,1,short_vol,180,0.1445652725501746,0.15416346962859961,-0.00959819707842502,1630.0,1615.0,5554.816288690143,-729866.9319642256,841011.0523755691,999.8669319642256,110144.2534793793,22,False
2013-08-26,2013-09-26,1,short_vol,189,0.1349246369021604,0.09906274050114157,0.03586189640101882,1655.0,1695.0,5263.948468802948,-238886.26060375723,191619.53523975218,994.8862606037573,-48261.611624608806,22,False
2013-09-27,2013-10-29,1,short_vol,187,0.1342111593238304,0.12558148359404275,0.00862967572978765,1690.0,1770.0,5346.8501006861625,496139.03117168753,-352915.3389157613,999.8609688283125,142223.83128709788,22,False
2013-12-13,2014-01-16,1,short_vol,180,0.1320953520106615,0.0958694212075801,0.036225930803081396,1775.0,1845.0,5527.25447967822,265094.1936579204,-440173.2983534502,994.9058063420796,-176074.01050187188,22,False
2014-01-24,2014-02-26,1,short_vol,160,0.1472050542119672,0.13725779133153926,0.009947262880427937,1790.0,1845.0,6211.445119911343,-113831.21918581492,-4180.822339340125,993.831219185815,-119005.87274434086,22,False
2014-03-03,2014-03-25,1,short_vol,169,0.1353364217245198,0.09670341076978722,0.038633010954732566,1845.0,1865.0,5886.17618574657,-404315.54203166254,152082.09390299147,994.7637753911703,-248690.94384779257,16,True
2014-04-10,2014-05-07,1,short_vol,164,0.1411605319788282,0.08632008193860922,0.054840450040218966,1830.0,1875.0,6089.533576978511,-217995.93378697024,-33552.13561997052,998.6835066244757,-249670.87665611893,18,True
2014-05-12,2014-06-12,-1,long_vol,214,0.1045565259537957,0.07503259664846793,0.02952392930532778,1895.0,1930.0,4670.83171714936,250557.98746996312,-96402.79714455435,999.5579874699632,153155.6323379388,22,False
2014-06-20,2014-07-23,-1,long_vol,259,0.0832981407167527,0.08467307245969302,-0.0013749317429403163,1960.0,1985.0,3848.8549937055495,349353.4433697373,391556.7104916504,996.8534433697374,739913.3004180179,22,False
2014-07-31,2014-08-25,1,short_vol,155,0.1417601791521735,0.08238462497969738,0.05937555417247613,1930.0,1995.0,6449.57277786765,32355.670745597523,-290411.0977079581,999.6837805694857,-249920.94514237143,17,True
2014-09-25,2014-10-27,1,short_vol,160,0.1348305371903644,0.16975239430310035,-0.03492185711273596,1965.0,1960.0,6245.586572371417,-919293.8515794267,821528.568817562,999.2938515794267,-98764.57661344414,22,False
2014-12-10,2015-01-13,1,short_vol,133,0.1566312418366585,0.162176574118516,-0.005545332281857496,2025.0,2025.0,7476.800530315075,-994414.470531905,1282445.4106226128,994.414470531905,287036.52562017593,22,False
2015-01-14,2015-02-06,1,short_vol,114,0.1843236634218641,0.1589149264051672,0.02540873701669691,2010.0,2055.0,8733.224245317251,-318071.7843789027,61113.510499291806,995.5875639661667,-248896.89099154167,16,True
2015-02-09,2015-03-04,1,short_vol,132,0.1559713317076012,0.08179967228247786,0.07417165942512333,2045.0,2095.0,7518.839151482451,-223690.85420178066,-38916.342418770524,992.4867679956835,-248121.69199892087,16,True
2015-03-10,2015-03-23,1,short_vol,140,0.1475351281360138,0.14055910226275223,0.006976025873261571,2045.0,2100.0,7112.225154240434,11309.729755484455,-281764.5739129889,995.7115215936608,-248927.8803984152,9,True
2015-06-29,2015-07-30,1,short_vol,123,0.1671098314068445,0.11521781534207648,0.05189201606476801,2055.0,2105.0,8095.074393431822,-380694.150392114,260220.9959596641,995.694150392114,-121468.84858284201,22,False
2015-08-20,2015-09-22,1,short_vol,124,0.1668613156127644,0.2847886582170779,-0.11792734260431348,2035.0,1945.0,8004.371281164833,123457.96113556066,913911.891624278,992.5420388644394,1036377.3107209742,22,False
2015-09-24,2015-10-26,1,short_vol,108,0.2022098121538842,0.15866480874027494,0.04354500341360926,1930.0,2070.0,9199.11556953798,518495.5184898981,-508537.9944925105,993.5044815101019,8964.019515877513,22,False
2015-11-13,2015-12-07,1,short_vol,122,0.1709283250596033,0.14678152067898154,0.02414680438062175,2020.0,2075.0,8138.9875545297855,-189953.25837996937,-66809.69414900479,992.9564816526339,-248239.12041315847,15,True
2015-12-11,2016-01-14,1,short_vol,103,0.2037567821788,0.20107458494809075,0.0026821972307092545,2015.0,1925.0,9677.711518289267,-69804.28638379437,350956.90648704284,996.8042863837944,280155.81581686466,22,False
2016-01-15,2016-02-12,1,short_vol,97,0.2315198616701786,0.19462517521031736,0.03689468645986124,1880.0,1865.0,10259.177962554668,-610811.3901282741,279702.7694770317,995.1402623678028,-248785.0655919507,19,True
2016-02-16,2016-03-10,1,short_vol,106,0.2090355746158129,0.1487545141928326,0.060281060422980315,1900.0,1990.0,9361.725650750986,-8203.88388142191,-246265.52328503793,992.3429189796046,-248085.72974490115,17,True
2016-04-19,2016-05-19,-1,long_vol,178,0.1129372552399629,0.09686190588300919,0.016075349356953705,2100.0,2040.0,5590.97442374657,-72806.5525731105,391167.5591273581,995.1934474268894,317365.8131068207,22,False
