date,log_return,rv_daily,rv_weekly,rv_monthly,rvol_daily,rvol_weekly,rvol_monthly,bv_monthly,fwd_rv,fwd_rvol,fwd_trading_days,atm_iv_at_expiry,mfiv_at_expiry,mfiv_vol_at_expiry,exdate_trade,dte_trade,fomc_window,har_rv_forecast,garch_forecast,gjr_forecast,composite_rv_forecast
2020-06-11,-0.06075269299628893,0.9301042059879362,0.23150289738014573,0.08660696674854215,0.964419102873816,0.4811474798646936,0.29429061614081775,0.048492397562081534,,,,,,,,,1,,0.04260506485782887,0.013028029265384863,0.027816547061606866
2020-06-12,0.012976286605211731,0.04243277154327055,0.20624843889829342,0.08362123057119665,0.20599216379093294,0.45414583439495887,0.2891733572983456,0.06262729302868177,,,,,,,,,1,,0.04260506485782887,0.013028029265384863,0.027816547061606866
2020-06-15,0.00827786081817526,0.017267790890720457,0.20248105428299573,0.0808511138091797,0.1314069666749844,0.4499789487109322,0.2843433027331217,0.057994312592967424,,,,,,,,,1,,0.04260506485782887,0.013028029265384863,0.027816547061606866
2020-06-16,0.018784852866710527,0.0889234157004386,0.21717597136934197,0.08338902757262702,0.29820029460152886,0.4660214280152169,0.28877158373466566,0.057159928694484344,,,,,,,,,1,,0.11872140825590619,0.15497562007752624,0.13684851416671623
2020-06-17,-0.0036067962326294138,0.003278262724054852,0.21640128936928424,0.0833621433387762,0.05725611516733258,0.465189519840338,0.2887250306758598,0.05757105168852863,0.05397562450062755,0.23232654712844925,7.0,0.30422854349070805,0.05687303753920725,0.23848068588296045,2020-06-26,9.0,0,0.11678097443565597,0.11872140825590619,0.15497562007752624,0.1301593342563628
2020-06-18,0.0005940434038017573,8.892766653129516e-05,0.03039823370500324,0.07234756368212251,0.009430146686626627,0.1743508924697641,0.2689750242719991,0.05542278951421441,0.0629567406396436,0.2509118184535029,6.0,0.27817831827258543,0.05062480634779558,0.22499956966135642,2020-06-26,8.0,0,0.09529779627640288,0.11872140825590619,0.15497562007752624,0.12299827486994509
2020-06-19,-0.005665513565673728,0.008088707078633926,0.023529420812075916,0.07144278932116548,0.08993723966541294,0.1533930272602895,0.2672878398303325,0.04960164805582742,0.07393034735184553,0.2719013559213075,5.0,0.29184738732254056,0.0525113878537138,0.22915363373447475,2020-06-26,7.0,0,0.08403546661594502,0.11872140825590619,0.15497562007752624,0.1192441649831258
2020-06-22,0.006474093296658384,0.01056229877148693,0.02218832238822921,0.06879910311682601,0.10277304496553039,0.1489574516035677,0.26229583129898576,0.04712990676546931,,,,,,,,,0,,0.11872140825590619,0.15497562007752624,0.13684851416671623
2020-06-23,0.004298169191483789,0.0046555131164523434,0.005334741871431957,0.06831311352264402,0.068231320641274,0.07303931729850681,0.2613677744532482,0.045311776162794595,,,,,,,,,0,,0.06142706948729798,0.08280996741611826,0.07211851845170812
2020-06-24,-0.0261952655956623,0.1729203687860768,0.039263163083836344,0.0761098216357916,0.41583694976045216,0.19814934540350201,0.2758800856092944,0.04700750323594482,,,,,,,,,0,,0.06142706948729798,0.08280996741611826,0.07211851845170812
2020-06-25,0.01089982772821816,0.02993917361521803,0.04523321227357369,0.07576180374723153,0.17302940101386824,0.212681010608784,0.2752486216990587,0.05162820111644058,,,,,,,,,0,,0.06142706948729798,0.08280996741611826,0.07211851845170812
2020-06-26,-0.024525204274831163,0.15157438246999358,0.07393034735184562,0.08017011933567052,0.3893255481855687,0.27190135592130765,0.28314328410836537,0.05320338050737462,,,,,,,,,0,,0.06142706948729798,0.08280996741611826,0.07211851845170812
2020-06-29,0.01457888811353358,0.05356108261398654,0.08253010412034555,0.08255371048318882,0.23143267404147266,0.2872805320942328,0.287321615064354,0.0590778762423601,,,,,,,,,0,,0.06142706948729798,0.08280996741611826,0.07211851845170812
2020-06-30,0.015292349435755562,0.05893169971884387,0.09338534144082385,0.08496842411038925,0.24275852141344878,0.3055901527222758,0.29149343750827267,0.06290700696613322,,,,,,,,,0,,0.07040594024137271,0.09442446051799609,0.0824152003796844
2020-07-01,0.005009563975870565,0.006324124269541705,0.06006609253751684,0.08509530123294627,0.07952436274212894,0.24508384797353913,0.29171098922211736,0.0639619726082747,0.024711113312116232,0.1571976886347768,6.0,0.21376237709170565,0.0324160932409984,0.1800446978974899,2020-07-10,9.0,0,0.08713446906421046,0.07040594024137271,0.09442446051799609,0.08398828994119308
2020-07-02,0.0045309704768169146,0.0051734827523701975,0.05511295436494727,0.08456451293503245,0.07192692647659983,0.23476148398948937,0.2907997815250769,0.06381948036174119,0.028618639424065437,0.16917044488936428,5.0,0.18834212415690443,0.027515284218408077,0.16587731676877365,2020-07-10,8.0,0,0.0780072885028128,0.07040594024137271,0.09442446051799609,0.08094589642072719
2020-07-06,0.01575693083216329,0.06256677905089367,0.03731143368112729,0.08530330300429598,0.2501335224453005,0.19316167756862979,0.292067291911121,0.0631094344128464,,,,,,,,,0,,0.07040594024137271,0.09442446051799609,0.0824152003796844
2020-07-07,-0.010877477869643567,0.02981652025075556,0.03256252120848109,0.08652817217818169,0.17267460800811324,0.1804508830914415,0.29415671363778473,0.06537022776436685,,,,,,,,,0,,0.07040594024137271,0.09442446051799609,0.0824152003796844
2020-07-08,0.007796986263430269,0.015319834687614315,0.023840148202235182,0.07955611630250362,0.12377331977293941,0.15440255244728043,0.28205693805064186,0.06532529191510686,,,,,,,,,0,,0.048019855051181594,0.05667722521967412,0.052348540135427855
2020-07-09,-0.005659591476194623,0.008071805870708538,0.02418968452246855,0.07828189320720813,0.08984322940939143,0.1555303331265916,0.27978901552278307,0.06054686007749869,,,,,,,,,0,,0.048019855051181594,0.05667722521967412,0.052348540135427855
2020-07-10,0.010411809774443004,0.027318257260355094,0.028618639424065524,0.0788214126159194,0.16528235616772619,0.16917044488936453,0.2807515140046789,0.05992084257387714,,,,,,,,,0,,0.048019855051181594,0.05667722521967412,0.052348540135427855
2020-07-13,-0.009406645216058874,0.02229821350364243,0.02056492631461528,0.07950989174225116,0.14932586347864335,0.1434047639188297,0.28197498424904854,0.06093256014934097,,,,,,,,,0,,0.048019855051181594,0.05667722521967412,0.052348540135427855
2020-07-14,0.01331730058290395,0.044692324693484296,0.023540087203161027,0.03926389713795789,0.21140559286235616,0.15342779149541658,0.19815119766975392,0.057363264602062876,,,,,,,,,0,,0.048019855051181594,0.05667722521967412,0.052348540135427855
2020-07-15,0.009041056936355048,0.020598659052656256,0.024595852076169412,0.03827143747929361,0.14352232945662585,0.15683064775792202,0.19563087046602234,0.045345147983314404,0.011437347066817479,0.10694553317842442,7.0,0.2249062627170561,0.03484933871733734,0.18667977586588577,2020-07-24,9.0,0,0.03173269181006527,0.035391222946219186,0.03654115968970971,0.03455502481533139
2020-07-16,-0.0034119152141152374,0.002933573687934379,0.023568205639614582,0.03761988215189424,0.054162474905919675,0.1535193982518645,0.19395845470588344,0.04396746815331374,0.012854642629964661,0.11337831640117374,6.0,0.21389707594109725,0.03291757403025039,0.18143200938712659,2020-07-24,8.0,0,0.03281461606748337,0.035391222946219186,0.03654115968970971,0.03491566623447075
2020-07-17,0.0028445625875835605,0.0020390671512993805,0.018512367617803442,0.03367059358147882,0.04515603117302694,0.1360601617586994,0.18349548654252731,0.04134425015636668,0.015017757725697719,0.12254696130748292,5.0,0.19021684939620326,0.026627120560221415,0.1631781865330701,2020-07-24,7.0,0,0.031021516290174272,0.035391222946219186,0.03654115968970971,0.034317966308701056
2020-07-20,0.008371797255140334,0.01766192129885616,0.017585109176846185,0.03432439624396979,0.13289816138252689,0.13260885783704715,0.18526844373494852,0.04055366573097887,,,,,,,,,0,,0.035391222946219186,0.03654115968970971,0.03596619131796445
2020-07-21,0.0016776293345600682,0.0007092389264124672,0.008788492023431821,0.03435259221032802,0.026631540068356302,0.09374695740893045,0.1853445230114125,0.04076781875915861,,,,,,,,,1,,0.035391222946219186,0.03654115968970971,0.03596619131796445
2020-07-22,0.005730630594473862,0.008275712006600601,0.006323902614220689,0.03436109243432651,0.09097094045133644,0.07952296909837238,0.18536745246759612,0.0408802431429113,,,,,,,,,1,,0.02124362336005777,0.02141449645120382,0.021329059905630797
2020-07-23,-0.012396378412246847,0.038724889830384156,0.013482165842710645,0.03564121020973093,0.1967864066199293,0.11611272902964018,0.1887887978925946,0.041498474341063844,,,,,,,,,1,,0.02124362336005777,0.02141449645120382,0.021329059905630797
2020-07-24,-0.006209640024276134,0.00971702656623521,0.015017757725697812,0.03587127900290288,0.09857497941280642,0.12254696130748331,0.18939714623748394,0.04238282377641286,,,,,,,,,1,,0.02124362336005777,0.02141449645120382,0.021329059905630797
2020-07-27,0.007367928821482373,0.013680166529844518,0.014221406771895482,0.02863308799125595,0.11696224403560543,0.11925353987155049,0.16921314367168985,0.041180196871940064,,,,,,,,,1,,0.02124362336005777,0.02141449645120382,0.021329059905630797
2020-07-28,-0.006494435418646306,0.010628778234555838,0.016205314633524155,0.027755342746680397,0.10309596614104666,0.12730009675378945,0.16659934797795697,0.036903797921128516,,,,,,,,,1,,0.02124362336005777,0.02141449645120382,0.021329059905630797
2020-07-29,0.012351783351742583,0.038446771096033075,0.02223952645141065,0.02261317859331856,0.19607848198115232,0.14912922735470285,0.15037678874520016,0.03353730537086086,0.007892394196467001,0.08883914788237786,7.0,0.1891531864684413,0.026192537721114052,0.1618410878643432,2020-08-07,9.0,1,0.024678090871642626,0.01989423557664303,0.02271761683049483,0.02242998109292683
2020-07-30,-0.0037573017634548516,0.003557563768498556,0.015206061239033532,0.020340291373069107,0.05964531640035583,0.1233128591795419,0.14261939339749383,0.027939023705196905,0.00861486593446174,0.09281630209430744,6.0,0.2028738942732935,0.029930062165329976,0.17300306981475785,2020-08-07,8.0,1,0.028454015635861342,0.01989423557664303,0.02271761683049483,0.023688622680999732
2020-07-31,0.0076412362421762695,0.014713899809804526,0.016205435887747394,0.01833039137720368,0.12130086483535278,0.12730057300635922,0.13538977574840605,0.02444419999160002,0.007395059159393183,0.08599452982250198,5.0,0.1706049602211312,0.02217751312968795,0.14892116414293824,2020-08-07,7.0,1,0.027557433711577956,0.01989423557664303,0.02271761683049483,0.023389762039571937
2020-08-03,0.007155362664358673,0.012902202144341509,0.016049843010646794,0.018629394916967308,0.1135878609022175,0.12668797500412893,0.13648954141972677,0.024049579472322464,,,,,,,,,1,,0.01989423557664303,0.02271761683049483,0.02130592620356893
2020-08-04,0.003605423026133557,0.0032757669497382623,0.014579240753683276,0.018543135107756768,0.05723431619001194,0.12074452680632475,0.13617318057443165,0.02410535563346149,,,,,,,,,1,,0.01989423557664303,0.02271761683049483,0.02130592620356893
2020-08-05,0.006409160435517922,0.010351489047028485,0.008960184343882361,0.0161697128348538,0.10174226775056906,0.09465825026843863,0.12716018572986515,0.023236549159295475,0.011174149711632022,0.10570785075684787,7.0,0.16062290759364248,0.01986846895664892,0.14095555667177126,2020-08-14,9.0,0,0.0267519355383845,0.016693177237278475,0.01468094257847129,0.01937535178471142
2020-08-06,0.006407126020664802,0.010344918488859357,0.010317655287954522,0.015284640027494883,0.10170997241597973,0.10157585976970375,0.12363106416873909,0.020891528408002305,0.011312354915427465,0.10635955488543314,6.0,0.1571033422832162,0.019824918730025155,0.14080098980484887,2020-08-14,8.0,0,0.026889777291014414,0.016693177237278475,0.01468094257847129,0.01942129903558806
2020-08-07,0.0006328292699566697,0.00010091916699830066,0.007395059159393276,0.014592871140194153,0.01004585322400744,0.08599452982250252,0.12080095670231322,0.01943848854006025,0.013554642065113297,0.11642440493776765,5.0,0.14654462301545157,0.017453551642554167,0.13211189061759038,2020-08-14,7.0,0,0.026607649958032158,0.016693177237278475,0.01468094257847129,0.01932725659126064
2020-08-10,0.0027384652733919213,0.0018897963975005195,0.005192578010025078,0.01431187070959379,0.04347178852428917,0.07205954489188145,0.11963223106501772,0.01867568959790174,,,,,,,,,0,,0.016693177237278475,0.01468094257847129,0.015687059907874883
2020-08-11,-0.008001055401377298,0.016132255659049025,0.0077638757518872295,0.013803416091352607,0.12701281690856644,0.0881128580394895,0.11748794019537753,0.018009670075670246,,,,,,,,,0,,0.016693177237278475,0.01468094257847129,0.015687059907874883
2020-08-12,0.013899502293613534,0.04868543333056231,0.015430664608593995,0.015002835174394418,0.22064775849883975,0.12422022624594593,0.12248606114327629,0.01824844274116223,,,,,,,,,0,,0.013886238646576536,0.013555572000528066,0.013720905323552302
2020-08-13,-0.002049272676156681,0.001058278662313076,0.013573336643284736,0.013019469445704817,0.03253119521802229,0.11650466361174018,0.114102889734243,0.016506973153669644,,,,,,,,,0,,0.013886238646576536,0.013555572000528066,0.013720905323552302
2020-08-14,-0.00017189739627902921,7.4462761415724206e-06,0.013554642065113393,0.012083505228590514,0.0027287865694429862,0.11642440493776807,0.1099249981969093,0.01434693881918511,,,,,,,,,0,,0.013886238646576536,0.013555572000528066,0.013720905323552302
2020-08-17,0.002706177507423456,0.0018454959688245264,0.013545781979378193,0.012034047150449157,0.04295923612943468,0.1163863479080695,0.10969980469649505,0.01380028042166326,,,,,,,,,0,,0.013886238646576536,0.013555572000528066,0.013720905323552302
2020-08-18,0.0023007404198168474,0.001333938432803509,0.01058611853412909,0.012001995845062983,0.03652312189289832,0.10288886496666727,0.10955362086696625,0.013737680119129727,,,,,,,,,0,,0.013886238646576536,0.013555572000528066,0.013720905323552302
2020-08-19,-0.004414123345182018,0.004910090196433185,0.0018310499073032665,0.01142236715858921,0.07007203576629685,0.04279076894966094,0.10687547500988807,0.01349192874715723,0.01026810603167908,0.10133166351974629,7.0,0.15553066114561478,0.019349222042449814,0.13910148109365986,2020-08-28,9.0,0,0.023857610687954674,0.012165887379634718,0.00973918835431196,0.01525422880730045
2020-08-20,0.0031536547683461333,0.0025062756762739007,0.002120649310095431,0.011504050647219275,0.05006271742798128,0.04605050825013152,0.10725693752489521,0.013489694918864844,0.011561744424246612,0.10752555242474512,6.0,0.1428206959643843,0.017096149953205145,0.13075224645567335,2020-08-28,8.0,0,0.02433478771323452,0.012165887379634718,0.00973918835431196,0.015413287815727065
2020-08-21,0.0034351999829724668,0.0029737509285995374,0.002713910240587024,0.011263052416401046,0.054532109152310784,0.0520952036236257,0.10612752902240326,0.013511638181396805,0.013279343123376025,0.11523603222679973,5.0,0.13361999576779907,0.014753299435645496,0.1214631608169551,2020-08-28,7.0,0,0.024320045155009355,0.012165887379634718,0.00973918835431196,0.015408373629652009
2020-08-24,0.009993615364903508,0.02516783171153214,0.007378377389128547,0.01064682250190777,0.15864372572381216,0.08589748185557332,0.10318344102571773,0.012851142065656207,,,,,,,,,0,,0.012165887379634718,0.00973918835431196,0.010952537866973339
2020-08-25,0.003589899745540117,0.0032476198061233076,0.007761113663792506,0.01035275855826632,0.05698789175011923,0.08809718306388976,0.10174850641786502,0.012111622256754473,,,,,,,,,0,,0.012165887379634718,0.00973918835431196,0.010952537866973339
2020-08-26,0.010144001344841499,0.025930992347604827,0.011965294094026835,0.010909614277255425,0.16103102914533218,0.10938598673517022,0.10444909897770983,0.011943637589021075,0.060720360775000974,0.2464150173487829,7.0,0.16186631669428214,0.020757307004599466,0.1440739636596407,2020-09-04,9.0,0,0.024140139487157687,0.011588155783448465,0.008285486838428962,0.014671260703011705
2020-08-27,0.0016716460318091384,0.0007041889148271363,0.011604876741737482,0.010458496580904121,0.02653655808176969,0.10772593346886107,0.10226679119295824,0.01138778087153615,0.07072305608502995,0.26593806813810983,6.0,0.16681815399207908,0.021753261953990716,0.14748987068267,2020-09-04,8.0,0,0.023879303151434255,0.011588155783448465,0.008285486838428962,0.01458431525777056
2020-08-28,0.006710002849570254,0.011346082836792715,0.013279343123376117,0.009226647114575012,0.10651799301898583,0.11523603222680012,0.09605543771476455,0.010146260609110402,0.08259845073467739,0.2873994619596171,5.0,0.1383764773060723,0.015099914056323124,0.12288170757408576,2020-09-04,7.0,0,0.022671464811853156,0.011588155783448465,0.008285486838428962,0.014181702477910193
2020-08-31,-0.002197375175508541,0.0012167713308091801,0.008489131047231525,0.009120247458316405,0.03488224950901504,0.09213648054506708,0.09549998669275513,0.009576520223052361,,,,,,,,,0,,0.011588155783448465,0.008285486838428962,0.009936821310938714
2020-09-01,0.007496831420705943,0.01416302530032194,0.010672212146071251,0.009095207707885378,0.1190085093609778,0.10330639934714234,0.09536879839803676,0.009356341420216347,,,,,,,,,0,,0.011588155783448465,0.008285486838428962,0.009936821310938714
2020-09-02,0.01524905014386973,0.058598449633143875,0.01720570360317906,0.011172309866467304,0.24207116646379814,0.1311705134669338,0.1056991478984921,0.01042949682704975,0.11972014145886606,0.34600598471538907,6.0,0.16905958361413226,0.022609812920313527,0.15036559752920056,2020-09-11,9.0,0,0.02462706765636166,0.01203810736943417,0.0072059023441659814,0.014623692456653938
2020-09-03,-0.0357575941421853,0.3222085957869857,0.08150658497761076,0.02566925663179673,0.5676342094932137,0.2854935813247134,0.16021628079504507,0.019776217039629628,0.07922245059324212,0.2814648301178002,5.0,0.25025573768768333,0.042799795569576006,0.20688111457930616,2020-09-11,8.0,0,0.03818337412062606,0.01203810736943417,0.0072059023441659814,0.019142461278075402
2020-09-04,-0.008166280754275102,0.01680541162212627,0.08259845073467748,0.025962616748846628,0.12963568807286932,0.28739946195961724,0.16112919272697493,0.024614448382750665,0.09482671033602111,0.30793945888115914,4.0,0.24625386822152223,0.04213417967760039,0.20526611916631637,2020-09-11,7.0,0,0.036338582787717406,0.01203810736943417,0.0072059023441659814,0.01852753083377252
2020-09-08,-0.02814882908646679,0.1996738578926579,0.12228986804704721,0.03456847763083747,0.4468488087627155,0.34969968265219686,0.18592600041639543,0.028011605996020567,,,,,,,,,1,,0.01203810736943417,0.0072059023441659814,0.009622004856800075
2020-09-09,0.019944760662180386,0.10024395642365785,0.1395060542717144,0.039120433869776546,0.31661326002499934,0.3735050926984991,0.19778886184458555,0.03804017626118172,,,,,,,,,1,,0.01203810736943417,0.0072059023441659814,0.009622004856800075
2020-09-10,-0.017741245925395586,0.0793174553603121,0.14364985541714803,0.04263987291354071,0.2816335480022082,0.37901168242832306,0.20649424426249927,0.04437564085158551,,,,,,,,,1,,0.07699647506207645,0.08945410673746328,0.08322529089976986
2020-09-11,0.0005329301580873496,7.157166745654987e-05,0.07922245059324222,0.04190984182301378,0.008460003986792787,0.2814648301178004,0.2047189337189254,0.04415152724449925,,,,,,,,,1,,0.07699647506207645,0.08945410673746328,0.08322529089976986
2020-09-14,0.012661335025022992,0.040397969963200234,0.083940962261457,0.04153313894267914,0.2009924624536956,0.2897256672465472,0.20379680797961272,0.042271948322679664,,,,,,,,,1,,0.07699647506207645,0.08945410673746328,0.08322529089976986
2020-09-15,0.005205785930499657,0.006829252202855421,0.045372041123496513,0.0417954559217947,0.0826392897044464,0.21300713866792473,0.2044393697940656,0.04294538719441274,,,,,,,,,1,,0.07699647506207645,0.08945410673746328,0.08322529089976986
2020-09-16,-0.0046296468921518345,0.005401274847194807,0.02640350480820391,0.042040629947751665,0.07349336600806093,0.1624915530364699,0.20503811827987414,0.04337269155295682,0.046052956957858625,0.21459952692831974,7.0,0.2111038328805591,0.030963456850496708,0.17596436244449246,2020-09-25,9.0,1,0.049420062066295796,0.07699647506207645,0.08945410673746328,0.07195688128861184
2020-09-17,-0.008447949528552457,0.017984698511716357,0.014136953438484763,0.04277423006333765,0.1341070412458509,0.11889892109890973,0.2068193174327235,0.04406803676832609,0.050731000032215666,0.22523543245283514,6.0,0.22363147646592826,0.034816686081556185,0.1865922990949953,2020-09-25,8.0,1,0.04598395069665903,0.045566913218270055,0.054991450420702734,0.04884743811187727
2020-09-18,-0.011245576947828505,0.031868676224162035,0.02049637434982586,0.04416217269021759,0.17851799972037002,0.14316554875327325,0.21014797807787158,0.04566535922794218,0.0545034647938264,0.23345977125369244,5.0,0.21432844709866716,0.031663770069711654,0.177943165279568,2020-09-25,7.0,1,0.04322796874559265,0.045566913218270055,0.054991450420702734,0.04792877746152182
2020-09-21,-0.011638564027297718,0.03413495549961214,0.01924377145710824,0.045490575658543905,0.1847564762047927,0.13872192132863587,0.21328519793587156,0.04783756399274412,,,,,,,,,1,,0.045566913218270055,0.054991450420702734,0.050279181819486395
2020-09-22,0.010463016398376152,0.027587627462477442,0.023395446509032643,0.04663063710337134,0.1660952361221641,0.15295570113282028,0.21594128161000467,0.04977815247941529,,,,,,,,,1,,0.045566913218270055,0.054991450420702734,0.050279181819486395
